Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
COLLEGES (année scolaire 2024/2025);MONTGOLFIER;15 RUE MONTGOLFIER;3ème Ardt;75103;2024-2025;Collège;"{""coordinates"": [2.3573979777840735, 48.86669135689307], ""type"": ""Point""}";48.86669135689307, 2.3573979777840735
COLLEGES (année scolaire 2024/2025);CAMILLE CLAUDEL;4 bis AVENUE DE CHOISY;13ème Ardt;75113;2024-2025;Collège;"{""coordinates"": [2.3648627277329224, 48.82064046139026], ""type"": ""Point""}";48.82064046139026, 2.3648627277329224
COLLEGES (année scolaire 2024/2025);HENRI MATISSE;3 RUE VITRUVE;20ème Ardt;75120;2024-2025;Collège;"{""coordinates"": [2.401975118872313, 48.85645682794513], ""type"": ""Point""}";48.85645682794513, 2.401975118872313
COLLEGES (année scolaire 2024/2025);EDGAR VARESE;16 RUE ADOLPHE MILLE;19ème Ardt;75119;2024-2025;Collège;"{""coordinates"": [2.388586748411057, 48.88915990325219], ""type"": ""Point""}";48.88915990325219, 2.388586748411057
COLLEGES (année scolaire 2024/2025);JEAN PERRIN;6 RUE EUGENE REISZ;20ème Ardt;75120;2024-2025;Collège;"{""coordinates"": [2.411192015083835, 48.85685261667771], ""type"": ""Point""}";48.85685261667771, 2.411192015083835
COLLEGES (année scolaire 2024/2025);MAURICE UTRILLO;100 BOULEVARD NEY;18ème Ardt;75118;2024-2025;Collège;"{""coordinates"": [2.3447564327292643, 48.89820810689648], ""type"": ""Point""}";48.89820810689648, 2.3447564327292643
COLLEGES (année scolaire 2024/2025);CHAPTAL;45 BOULEVARD DES BATIGNOLLES;8ème Ardt;75108;2024-2025;Collège;"{""coordinates"": [2.319687602583127, 48.88173758353143], ""type"": ""Point""}";48.88173758353143, 2.319687602583127
COLLEGES (année scolaire 2024/2025);MONTAIGNE;17 RUE AUGUSTE COMTE;6ème Ardt;75106;2024-2025;Collège;"{""coordinates"": [2.3348321149353644, 48.844237396416126], ""type"": ""Point""}";48.844237396416126, 2.3348321149353644
COLLEGES (année scolaire 2025/2026);COLETTE BESSON;9 RUE DES PANOYAUX;20ème Ardt;75120;2025-2026;Collège;"{""coordinates"": [2.3849235011315018, 48.86642227484253], ""type"": ""Point""}";48.86642227484253, 2.3849235011315018
COLLEGES (année scolaire 2025/2026);HENRI IV;23 RUE CLOVIS;5ème Ardt;75105;2025-2026;Collège;"{""coordinates"": [2.347383672470346, 48.846358092872286], ""type"": ""Point""}";48.846358092872286, 2.347383672470346
COLLEGES (année scolaire 2025/2026);MAURICE RAVEL;89 COURS DE VINCENNES;20ème Ardt;75120;2025-2026;Collège;"{""coordinates"": [2.4083375178390534, 48.84767113661859], ""type"": ""Point""}";48.84767113661859, 2.4083375178390534
COLLEGES (année scolaire 2025/2026);MOZART;7 RUE JOMARD;19ème Ardt;75119;2025-2026;Collège;"{""coordinates"": [2.379308212552385, 48.88957595365006], ""type"": ""Point""}";48.88957595365006, 2.379308212552385
COLLEGES (année scolaire 2025/2026);MONTGOLFIER;15 RUE MONTGOLFIER;3ème Ardt;75103;2025-2026;Collège;"{""coordinates"": [2.3573979777840735, 48.86669135689307], ""type"": ""Point""}";48.86669135689307, 2.3573979777840735
COLLEGES (année scolaire 2025/2026);MONTAIGNE;17 RUE AUGUSTE COMTE;6ème Ardt;75106;2025-2026;Collège;"{""coordinates"": [2.3348321149353644, 48.844237396416126], ""type"": ""Point""}";48.844237396416126, 2.3348321149353644
