valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,prix_m2,jour,mois,annee,arrondissement
286320.0,27.0,1.0,2.335832,48.891325,10604.444444444445,17,1,2024,18
411600.0,53.0,2.0,2.338516,48.896232,7766.037735849057,16,1,2024,18
398000.0,38.0,2.0,2.379916,48.88596,10473.684210526315,15,1,2024,19
298000.0,41.0,3.0,2.340625,48.896686,7268.292682926829,8,1,2024,18
622100.0,73.0,3.0,2.405145,48.863867,8521.917808219177,15,1,2024,20
250000.0,25.0,2.0,2.373761,48.880603,10000.0,12,1,2024,19
250000.0,28.0,2.0,2.373761,48.880603,8928.57142857143,12,1,2024,19
210000.0,30.0,2.0,2.351592,48.887134,7000.0,5,1,2024,18
232692.5,21.0,1.0,2.344062,48.884039,11080.595238095239,8,1,2024,18
500000.0,48.0,3.0,2.341675,48.895926,10416.666666666666,11,1,2024,18
278000.0,21.0,2.0,2.335603,48.885157,13238.095238095239,10,1,2024,18
315000.0,27.0,1.0,2.306436,48.880624,11666.666666666666,18,1,2024,17
275000.0,33.0,1.0,2.390175,48.879266,8333.333333333334,5,1,2024,19
165000.0,17.0,1.0,2.358206,48.891123,9705.882352941177,16,1,2024,18
215000.0,40.0,2.0,2.338397,48.891017,5375.0,5,1,2024,18
901350.0,73.0,3.0,2.296559,48.88101,12347.260273972603,22,1,2024,17
410570.0,40.0,3.0,2.348168,48.88449,10264.25,3,1,2024,18
418500.0,35.0,1.0,2.292254,48.877466,11957.142857142857,3,1,2024,17
820000.0,55.0,2.0,2.359568,48.857376,14909.09090909091,10,1,2024,4
160000.0,66.0,3.0,2.373024,48.879531,2424.242424242424,9,1,2024,19
150000.0,15.0,1.0,2.343465,48.877253,10000.0,15,1,2024,9
674800.0,62.0,3.0,2.344589,48.890324,10883.870967741936,3,1,2024,18
445850.0,68.0,3.0,2.409483,48.872263,6556.617647058823,9,1,2024,20
700000.0,55.0,2.0,2.364819,48.847703,12727.272727272728,5,1,2024,4
335000.0,37.0,1.0,2.37577,48.883701,9054.054054054053,15,1,2024,19
282000.0,21.0,1.0,2.354434,48.860505,13428.57142857143,22,1,2024,4
235000.0,27.0,1.0,2.406275,48.865813,8703.703703703704,15,1,2024,20
285425.0,25.0,2.0,2.349102,48.891431,11417.0,12,1,2024,18
539000.0,59.0,3.0,2.320476,48.89448,9135.593220338984,4,1,2024,17
175000.0,24.0,2.0,2.362293,48.893478,7291.666666666667,17,1,2024,18
475000.0,57.0,3.0,2.401784,48.874136,8333.333333333334,15,1,2024,20
